,Videocard Name,Price (USD)
421,GeForce GT 640,$109.99*
422,GeForce GT 640M,
423,GeForce GT 640M LE,$849.99*
424,GeForce GT 645,
425,GeForce GT 645M,
426,GeForce GT 650M,
427,GeForce GT 705,$296.76*
428,GeForce GT 710,$249.99*
429,GeForce GT 710M,
430,GeForce GT 720,$99.99*
431,GeForce GT 720A,
432,GeForce GT 720M,
433,GeForce GT 730,$109.99*
434,GeForce GT 730A,
435,GeForce GT 730M,
436,GeForce GT 735M,
437,GeForce GT 740,$236.99*
438,GeForce GT 740A,
439,GeForce GT 740M,
440,GeForce GT 745A,
441,GeForce GT 745M,
442,GeForce GT 750M,
443,GeForce GT 755M,
444,GeForce GT 820M,
445,GeForce GT625M,
446,GeForce GTS 150M,
447,GeForce GTS 160M,
448,GeForce GTS 240,$64.99*
449,GeForce GTS 250,$69.99*
450,GeForce GTS 250M,
451,GeForce GTS 350M,
452,GeForce GTS 360M,
453,GeForce GTS 450,$79.99*
454,GeForce GTX 1050,$239.99*
455,GeForce GTX 1050 (Mobile),
456,GeForce GTX 1050 3GB,
457,GeForce GTX 1050 Ti,$199.99 
458,GeForce GTX 1050 Ti (Mobile),
459,GeForce GTX 1050 Ti with Max-Q Design,
460,GeForce GTX 1050 with Max-Q Design,
461,GeForce GTX 1060,$279.99*
462,GeForce GTX 1060 (Mobile),
463,GeForce GTX 1060 3GB,$269.99*
464,GeForce GTX 1060 5GB,$487.99*
465,GeForce GTX 1060 with Max-Q Design,
466,GeForce GTX 1070,$488.09*
467,GeForce GTX 1070 (Mobile),
468,GeForce GTX 1070 Ti,$569.99*
469,GeForce GTX 1070 with Max-Q Design,
470,GeForce GTX 1080,$442.79*
471,GeForce GTX 1080 Ti,$483.82*
472,GeForce GTX 1080 with Max-Q Design,
473,GeForce GTX 1630,$139.99 
474,GeForce GTX 1650,$139.99 
475,GeForce GTX 1650 (Mobile),
476,GeForce GTX 1650 SUPER,$285.38*
477,GeForce GTX 1650 Ti,
478,GeForce GTX 1650 Ti with Max-Q Design,
479,GeForce GTX 1650 with Max-Q Design,
480,GeForce GTX 1660,$287.36 
481,GeForce GTX 1660 SUPER,$239.99 
482,GeForce GTX 1660 Ti,$619.99 
483,GeForce GTX 1660 Ti (Mobile),
484,GeForce GTX 1660 Ti with Max-Q Design,
485,GeForce GTX 260,$79.99*
486,GeForce GTX 260M,
487,GeForce GTX 275,$431.72*
488,GeForce GTX 280,$522.78*
489,GeForce GTX 280M,
490,GeForce GTX 285,$119.99*
491,GeForce GTX 285M,
492,GeForce GTX 295,$159.99*
493,GeForce GTX 460,$89.99*
494,GeForce GTX 460 SE,$159.99*
495,GeForce GTX 460 v2,$199.99*
496,GeForce GTX 460M,
497,GeForce GTX 465,$195.00*
498,GeForce GTX 470,$59.99*
499,GeForce GTX 470M,
500,GeForce GTX 480,$169.99*
501,GeForce GTX 480M,
502,GeForce GTX 485M,
503,GeForce GTX 550 Ti,$99.99*
504,GeForce GTX 555,
505,GeForce GTX 560,$205.00*
506,GeForce GTX 560 SE,$89.99*
507,GeForce GTX 560 Ti,$129.99*
508,GeForce GTX 560M,
509,GeForce GTX 570,$149.99*
510,GeForce GTX 570M,
511,GeForce GTX 580,$139.92*
512,GeForce GTX 580M,$248.68*
513,GeForce GTX 590,$435.00*
514,GeForce GTX 645,
515,GeForce GTX 650,$109.98*
516,GeForce GTX 650 Ti,$93.05*
517,GeForce GTX 650 Ti BOOST,
518,GeForce GTX 660,$167.95*
519,GeForce GTX 660 Ti,$144.00*
520,GeForce GTX 660M,$78.99*
521,GeForce GTX 670,$193.98*
522,GeForce GTX 670M,
523,GeForce GTX 670MX,
524,GeForce GTX 675M,
525,GeForce GTX 675MX,
526,GeForce GTX 680,$399.00*
527,GeForce GTX 680M,$135.99*
528,GeForce GTX 680M KY_Bullet Edition,
529,GeForce GTX 680MX,
530,GeForce GTX 690,$280.99*
531,GeForce GTX 745,$284.95*
532,GeForce GTX 750,$79.99*
533,GeForce GTX 750 Ti,$88.11*
534,GeForce GTX 760,$149.00*
535,GeForce GTX 760 Ti,$297.50*
536,GeForce GTX 760 Ti OEM,
537,GeForce GTX 760A,
538,GeForce GTX 760M,
539,GeForce GTX 765M,$186.30*
540,GeForce GTX 770,$249.00*
541,GeForce GTX 770M,$138.00*
542,GeForce GTX 775M,
543,GeForce GTX 780,$279.99*
544,GeForce GTX 780 Ti,$339.99*
545,GeForce GTX 780M,$499.00*
546,GeForce GTX 850A,
547,GeForce GTX 850M,
548,GeForce GTX 850M - MODDED,
549,GeForce GTX 860M,$114.00*
550,GeForce GTX 870M,
551,GeForce GTX 880M,
552,GeForce GTX 950,$141.99*
553,GeForce GTX 950A,
554,GeForce GTX 950M,$567.00*
555,GeForce GTX 960,$172.00*
556,GeForce GTX 960A,
557,GeForce GTX 960M,"$1,169.00*"
558,GeForce GTX 965M,
559,GeForce GTX 970,$237.99*
560,GeForce GTX 970M,$209.99*
561,GeForce GTX 970XM FORCE,
562,GeForce GTX 980,$247.35*
563,GeForce GTX 980 Ti,$796.99 
564,GeForce GTX 980M,$289.99*
565,GeForce GTX Titan,$745.00*
566,GeForce GTX TITAN Black,$524.99*
567,GeForce GTX TITAN X,"$1,096.99*"
568,GeForce GTX TITAN Z,"$1,515.00*"
569,GeForce MX110,
570,GeForce MX130,
571,GeForce MX150,$59.29*
572,GeForce MX230,
573,GeForce MX250,
574,GeForce MX330,
575,GeForce MX350,
576,GeForce MX450,
577,GeForce MX550,
578,GeForce MX570,
579,GeForce MX570 A,
580,GeForce PCX 5300,
581,GeForce PCX 5750,
582,GeForce PCX 5900,
583,GeForce RTX 2050,
584,GeForce RTX 2060,$199.99 
585,GeForce RTX 2060 (Mobile),
586,GeForce RTX 2060 12GB,
587,GeForce RTX 2060 SUPER,$409.99 
588,GeForce RTX 2060 with Max-Q Design,
589,GeForce RTX 2070,$269.99*
590,GeForce RTX 2070 (Mobile),
591,GeForce RTX 2070 SUPER,$497.95 
592,GeForce RTX 2070 Super with Max-Q Design,
593,GeForce RTX 2070 with Max-Q Design,
594,GeForce RTX 2080,$800.61 
595,GeForce RTX 2080 (Mobile),
596,GeForce RTX 2080 SUPER,$740.99*
597,GeForce RTX 2080 Super with Max-Q Design,
598,GeForce RTX 2080 Ti,"$1,124.99*"
599,GeForce RTX 2080 with Max-Q Design,"$2,099.99*"
600,GeForce RTX 3050,$224.71 
601,GeForce RTX 3050 4GB Laptop GPU,
602,GeForce RTX 3050 6GB Laptop GPU,
603,GeForce RTX 3050 Laptop GPU,$269.99*
604,GeForce RTX 3050 OEM,
605,GeForce RTX 3050 Ti Laptop GPU,
606,GeForce RTX 3060,$249.99 
607,GeForce RTX 3060 Laptop GPU,$309.99*
608,GeForce RTX 3060 Ti,$319.99 
609,GeForce RTX 3070,$499.99 
610,GeForce RTX 3070 Laptop GPU,
611,GeForce RTX 3070 Ti,$529.99 
612,GeForce RTX 3070 Ti Laptop GPU,
613,GeForce RTX 3080,$879.99 
614,GeForce RTX 3080 12GB,
615,GeForce RTX 3080 Laptop GPU,
616,GeForce RTX 3080 Ti,$849.99 
617,GeForce RTX 3080 Ti Laptop GPU,
618,GeForce RTX 3090,$979.99 
619,GeForce RTX 3090 Ti,"$1,626.46 "
620,GeForce RTX 4050 Laptop GPU,
621,GeForce RTX 4060,$299.00 
622,GeForce RTX 4060 Laptop GPU,
623,GeForce RTX 4060 Ti,$389.99 
624,GeForce RTX 4060 Ti 16GB,$499.00*
625,GeForce RTX 4070,$599.99 
626,GeForce RTX 4070 Laptop GPU,
627,GeForce RTX 4070 Ti,$789.99 
628,GeForce RTX 4080,"$1,099.99 "
629,GeForce RTX 4080 Laptop GPU,
630,GeForce RTX 4090,"$1,599.00 "
631,GeForce RTX 4090 Laptop GPU,
632,GeForce2 Go,
633,GeForce2 GTS/GeForce2 Pro,
634,GeForce2 Integrated GPU,
635,GeForce2 MX,
636,GeForce2 MX 100/200,
637,GeForce2 MX with DVI-D and TV-out,
638,GeForce2 MX with TV Out,
639,GeForce2 MX/MX 400,
640,GeForce2 Ti,
641,GeForce2 Ultra,
642,GeForce3,
643,GeForce3 Ti 200,
644,GeForce3 Ti 500,
645,GeForce4 420 Go,
646,GeForce4 420 Go 32M,
647,GeForce4 4200 Go,
648,GeForce4 440,
649,GeForce4 440 Go,
650,GeForce4 440 Go 64M,
651,GeForce4 448 Go,
652,GeForce4 MX 4000,
653,GeForce4 MX 420,
654,GeForce4 MX 440,
655,GeForce4 MX 440 with AGP8X,
656,GeForce4 MX 440SE,
657,GeForce4 MX 460,
658,GeForce4 MX Integrated GPU,
659,GeForce4 Ti 4200,
660,GeForce4 Ti 4400,
661,GeForce4 Ti 4600,$53.99*
662,GeForce4 Ti 4800,
663,GeForce4 Ti 4800 SE,
664,GeForce9400M,
665,GF117,
666,GRID GTX P40-6,
667,GRID K1,$395.00*
668,GRID K120Q,
669,GRID K140Q,
670,GRID K160Q,
671,GRID K180Q,
