Videocard Name,Price (USD)
T400 4GB,
GRID M60-8Q,
Quadro K2200M,124.95
GeForce GTX 880M,
Radeon HD 8970M,139.99
GRID RTX8000P-2Q,
GRID P100-8Q,
GRID M60-4Q,
Radeon HD 7850,169.99
GeForce GTX 965M,
GeForce GTX 1050 with Max-Q Design,
Radeon HD 7970M,
Radeon Pro WX 4100,499.99
GeForce GTX 780M,499
GeForce MX450,
Radeon Pro 560X,
Quadro P620,236.49
T400,156.99
T500,
Radeon RX 560,225.91
GRID RTX8000-2Q,
GeForce GTX 680M KY_Bullet Edition,
GRID M6-8Q,
Radeon RX 5300M,
Quadro K2200,268.3
Quadro M2000M,213.16
Tesla C2050,269.99
Quadro 7000,
Tesla M10,2695
Radeon Pro 560,
Radeon Pro 460,
Tesla C2050 / C2070,
GeForce GTX 960M,1169
Radeon R9 M470X,
GeForce GTX 750,219.99
GRID K520,149.99
GeForce GTX 870M,
Radeon R9 M290X,
Radeon HD8970M,
Radeon E8870PCIe,
GRID P40-2B,
GRID M10-1Q,
Quadro M1200,
GeForce GTX 650 Ti BOOST,
Quadro P600,325.99
Radeon RX Vega M GL,
GeForce GTX 590,435
Quadro K5100M,1108.84
GeForce 770M,176.99
GRID M10-4Q,
Radeon R9 M485X,
GRID T4-4Q,
Radeon RX 560X,
RadeonT RX 5500M,
FirePro V7000,
FirePro W7170M,
GeForce GTX 470,59.99
Radeon R7 260X,139.99
Radeon Pro 555,1049
Radeon Ryzen 9 5900HX,
Tesla C2075,646
Radeon Pro 455,449
Tesla C2070,604
Intel G35 Express,
Radeon HD 7790,139.99
GeForce GTX 680M,135.99
FirePro W5000,184
GeForce GTX 560 Ti,129.99
GeForce GTX 860M,114
EIZO MED-X5000,
Radeon R7 360,145.99
Radeon R9 360,133.89
GRID T4-2Q,
Radeon R9 M390X,
Radeon R9 260,
Radeon HD 6990,498.49
Quadro M1000M,85.99
Ryzen 9 5900HX with Radeon Graphics,
FirePro W5100,125.99
GRID K260Q,
Radeon R9 M380,
Radeon R7 260,89.99
Ryzen 7 PRO 4700G with Radeon Graphics,
Quadro K1200,204
FirePro W4300,239.99
Radeon HD 6970,149.99
GeForce MX350,
Radeon Pro V340 MxGPU,
Quadro M620,
GRID K280Q,
Ryzen 7 5800H with Radeon Graphics,
Custom GPU 0405,
FirePro 3D V9800,2499
GeForce GTX 770M,138
Intel Iris Xe,
Radeon Ryzen 7 5700G,
Radeon Ryzen 7 PRO 5750GE,
Radeon Ryzen 7 5800H,
Quadro K4100M,261.29
Radeon Ryzen 9 5900H,
Quadro K5000M,508.91
Radeon Ryzen 5 4600H,
GRID K2,4449.99
FirePro V9800,474
Radeon Pro 450,
Radeon RX 550,157.74
Ryzen 9 4900H with Radeon Graphics,
GeForce GTX 560,205
Ryzen 7 5700G with Radeon Graphics,
GRID T4-1Q,
Barco MXRT 5500,299
Quadro K4000,270
Radeon Ryzen 5 5600H,
Quadro 6000,4092.38
Radeon Ryzen 9 4900H,
Ryzen 7 Pro 4750G with Radeon Graphics,
GeForce GTX 465,195
Ryzen 7 5700GE with Radeon Graphics,
FirePro M6100 FireGL V,
GRID M10-2Q,
Radeon HD 6950,139.99
FirePro R5000,109.99
GRID P6-4A,
MONSTER GeForce GTX 675M,
Radeon Pro WX 3100,
Radeon Pro,185.35
Ryzen 7 PRO 5750GE with Radeon Graphics,
Intel UHD 770,
GRID M10-8Q,
Radeon Ryzen 7 PRO 4750G,
GeForce GTX 950M,567
Ryzen 5 5600GE with Radeon Graphics,
GRID T4-2B,
Ryzen 5 5600G with Radeon Graphics,
Ryzen 7 PRO 5750G with Radeon Graphics,
Radeon Ryzen 7 4700G,
GeForce GTX 850M,
Ryzen 7 PRO 4750GE with Radeon Graphics,
GeForce MX330,
GeForce GT 1030,109.99
Radeon Ryzen 5 5600G,
GRID K240Q,
Intel UHD P630,
Radeon HD 6850 X2,
Ryzen 9 5980HS with Radeon Graphics,
FireStream 9370,
GeForce GTX 650 Ti,93.05
N18E-Q1,
GeForce MX250,
Ryzen 5 PRO 5650G with Radeon Graphics,
Radeon Ryzen 7 4700GE,
Ryzen 5 PRO 5650GE with Radeon Graphics,
Ryzen 7 4700GE with Radeon Graphics,
GeForce GTX 950A,
Ryzen 7 5800U with Radeon Graphics,
Radeon Pro WX 3200,216.99
Ryzen 7 PRO 5850U with Radeon Graphics,
FirePro 3D V8800,424.99
Radeon Ryzen 5 PRO 4650G,
GeForce GTX 960A,
P106-090,
Radeon RX Vega 11 PRD,
Ryzen 3 4300GE with Radeon Graphics,
Ryzen 5 Pro 4650G with Radeon Graphics,
Ryzen 5 5600H with Radeon Graphics,
Ryzen 3 5300GE with Radeon Graphics,
GeForce GTX 580M,248.68
Radeon RX 550X,
Radeon Ryzen 5 PRO 5650GE,
GeForce GTX 485M,
Ryzen 7 4800U with Radeon Graphics,
Ryzen 3 PRO 5350G with Radeon Graphics,
Ryzen 3 PRO 5350GE with Radeon Graphics,
GeForce GTX 675MX,
GRID M10-2B,
Radeon Ryzen 7 PRO 5850U,
Radeon Ryzen 7 5800U,
FirePro V7900,190
GeForce MX150,59.29
GRID M10-1B,
Radeon Ryzen 3 4300GE,
Ryzen 5 PRO 4400G with Radeon Graphics,
Radeon Ryzen 7 Microsoft Surface Edition,
GeForce GTX 460,89.99
Ryzen 7 5700U with Radeon Graphics,
Radeon R9 M470,
Radeon Ryzen 7 4800U,
Radeon Pro Ryzen 7 PRO 5850U,
Radeon HD 6970M,215.99
Radeon R7 250X,194
