Videocard Name,Price (USD)
GeForce 6610 XL,
GeForce 8600M GT,108.1
GeForce 6600,264
GeForce 7500 LE,
Quadro FX 360M,
Intel G33/G31 Express,
ION,229.99
Quadro FX 350,
FireGL V3200,
GeForce 9300M G,
Radeon X1650 Pro,160.89
ALL-IN-WONDER X800 GT,
GeForce 9300 GE,22.99
GeForce 999 GTX,
Quadro FX 370,125
Radeon X1300 PRO,
RADEON X800 GT,
Intel G41 Express Chipset,
nForce 750a SLI,
GeForce 7300 GS,
GeForce 9100,
GeForce 9300 SE,
MOBILITY FireGL V5000,
Mobility Radeon X2500,
nForce 980a/780a SLI,
Radeon HD 3200,
RADEON X850 XT Platinum Edition,
GeForce 8400,589.99
Mobility Radeon 4100,
Quadro FX 540,59.99
RADEON X800 XT Platinum Edition,
RADEON X850 XT,
RADEON X800GT,
GeForce 8100 / nForce 720a,
GeForce 7300 LE,32
Radeon HD 2350,
M860G with Mobility Radeon 4100,
Quadro NVS 160M,
RADEON X700 PRO,
GeForce 9400M,
Intel G45/G43 Express Chipset,
Quadro NVS 295,63
Radeon X1650 GTO,
FireMV 2450,
GeForce 7350 LE,
Radeon 3100,225.99
GeForce 8600M GS,
Mobility Radeon HD 4300 Serisi,
RADEON X700,
RADEON X800 PRO/GTO,
RADEON X850 PRO,
FireGL V7100,328.67
GeForce 8200M G,
M880G with Mobility Radeon HD 4225,
MEDION RADEON 9800 XXL,
FireGL V3300,
Radeon X1650 SE,
Radeon X550XTX,
RADEON X700 SE,
BASICDISPLAY,
Diamond X1300-PCIE 256MB,
GeForce 9100M G,
Quadro NVS 420,150
FireGL V3350,
GeForce Go 6600,
Quadro FX 3000,166.61
Radeon X1600 Pro / X1300XT,
RADEON X800 XL,
GeForce 8400 SE,
GeForce 9400M G,
Intel B43 Express Chipset,
Intel G45/G43/G41 Express Chipset,
Matrox G200eR WDDM 2.0,
256MB RADEON X600,160.49
GeForce 8300 GS,
MOBILITY RADEON X700,
Quadro NVS 135M,
Radeon X1550,155
128MB DDR Radeon 9800 Pro,
GeForce Go 7400,
Mobility Radeon HD 4225,
GeForce G 105M,
RADEON X800 PRO,
GeForce 8400M GT,
M71-M,
Quadro FX 550,287.82
Quadro NVS 450,159
Intel HD manual-15.28-1861,
Mobility Radeon HD 3410,
128 DDR Radeon 9800 Pro,
MOBILITY FireGL V3200,
GeForce G 103M,
SAPPHIRE Radeon X1550,
MOBILITY RADEON X700 XL,
Radeon 2100,174.29
FireGL X1,
GeForce 6800 XE,
GeForce 8400M G,
GeForce FX 5950 Ultra,
Matrox G200e WDDM 1.2,
RADEON 9800 PRO,
Intel - Express Chipset Q45/Q43,
Mobile Intel 965 Express,
RADEON 9800,325
Radeon X1300,95.78
Intel - Express Chipset G41,
Intel G41 Express-Chipsatz,
Intel Q45/Q43 Express-Chipsatz,
RADEON 9800 XT,
RADEON X600 256MB HyperMemory,
RADEON X550XT,
RADEON 9700 PRO,
FireGL V3100,
GeForce 7100 GS,
GeForce Go 7300,
Matrox G200eh WDDM 1.2,
RADEON E2400,
Radeon Xpress 1300,
FirePro 2450,89.99
GeForce 6600 LE,
GeForce FX Go5700,
Mobility Radeon HD 2300,
RADEON X550,
Matrox G200eW WDDM 1.2,
MOBILITY RADEON X600,
128MB RADEON X600 SE,56.18
GeForce 7300 SE/7200 GS,
Mobility Radeon X2300 HD,
MOBILITY RADEON X600 SE,
Quadro NVS 140M,
Radeon X1050,
Radeon X1600,
Mobility Radeon X2300,
Quadro NVS 110M,
Radeon X1550 64-bit,
Quadro NVS 120M,
SAPPHIRE RADEON 9600 ATLANTIS,
FireMV 2250,104
GeForce 6200 TurboCache,
MOBILITY RADEON 9800,
GeForce Go 6600 TE/6200 TE,
GeForce Go 7200,
Matrox G200eh WDDM 2.0,
Matrox G200eR WDDM 1.2,
Mobile Intel 4 Express-Chipsatzfamilie,
Mobile Intel serie 4 Express,
MOBILITY FireGL V5200,
Quadro FX 350M,
128 DDR Radeon 9700 TX w/TV-Out,
Mobility Radeon X1400,
RADEON 9600 PRO,
Radeon Xpress 1250,
Matrox M9138 LP PCIe x16,
Mobile Intel 45 Express,
RADEON 9500 PRO / 9700,
GeForce FX 5700,
GeForce FX 5900 Ultra,
Gigabyte RADEON X300,
Matrox G200eh,
MOBILITY FIREGL T2,
GeForce FX 5900XT,
Matrox G200eW,
Mobility Radeon X1300,
Mobility Radeon X1350,
Radeon Xpress 1300M,
S3 Chrome 430 ULP,
GeForce 7050 / nForce 620i,
GeForce 7300 SE,
GIGABYTE RADEON 9600 PRO,
Mobile Intel - famiglia Express Chipset 45,
MOBILITY RADEON 9600/9700,
Quadro NVS 285,169.86
256MB DDR Radeon 9800 XT,
GeForce 6500,
GeForce 7050 / nForce 630i,
Quadro NVS 285 128MB,55
Quadro NVS 440,228.87
RADEON X300SE,
GeForce 6200SE TurboCache,
Matrox G200eR,
Radeon X1250,
CONNECT 3D RADEON X300,
FireMV 2200 PCIe,89.99
MOBILITY RADEON 9600,
Quadro FX 1100,212.99
RADEON 9500,40.5
Radeon Xpress 1200,
GeForce 6200,99.99
GeForce 7100 / nForce 630i,
GeForce FX 5900,
GeForce PCX 5750,
RADEON 9550,291.74
RADEON 9600 XT,
GeForce 7025 / nForce 630a,
GeForce FX 5700 Ultra,
GeForce PCX 5900,
MOBILITY FIREGL T2/T2e,
MOBILITY RADEON X300,
Quadro FX 1000,
Quadro FX 1300,
Radeon Xpress 1100,
GeForce 6150 LE,
GeForce 7150 / nForce 630i,
GeForce FX 5700VE,
GeForce FX 5900ZT,
Intel Media Accelerator,
Mobility Radeon X1450,
Radeon X1200,
S3 Chrome S27 DDR3,
GeForce 6200 A-LE,
Matrox M9148 LP PCIe x16,
Red Hat QXL controller,
FireGL T2-128,
GeForce 6200 LE,41.24
GeForce 7050 PV / nForce 630a,
OpenXT Display Driver,
Radeon X1270,
All-in-Wonder X1800XL,
GeForce 6150SE nForce 430,
MOBILITY RADEON 9550,
Radeon Xpress 1150,
RADEON XPRESS 200,
Matrox M9128 LP PCIe x16,
Radeon 9550 / X1050,
GeForce 6100,
MOBILITY FireGL V5250,
MOBILITY RADEON 9700,
MOBILITY RADEON XPRESS 200,
RADEON 9600 PRO Family,
RADEON 9600SE,
Radeon Xpress 1270,
GeForce 7100 / nForce 620i,
Matrox M9120 Plus LP PCIe x16,
Matrox M9125 PCIe x16,
PHDGD Sapphire GR for Mobile Intel 965,
GeForce 6100 nForce 400,
GeForce 6100 nForce 405,
GeForce 6100 nForce 420,
GeForce 6150SE,
GeForce FX 5700LE,
Intel G965 Express,
MOBILITY RADEON 9600 PRO TURBO,
RADEON 9600 Family,
GeForce 7050 / nForce 610i,
GeForce Go 6400,
Mobile Intel 965 Express-Chipsatzfamilie,
Quadro NVS 210S,
RADEON 9800 SE,
ALL-IN-WONDER 9800,
GeForce 6100 nForce 430,
GeForce 7200 GS,
Matrox M9140 LP PCIe x16,
RADEON A9800XT,
RADEON XPRESS 200M,
9xx Soldiers sans frontiers Sigma 2,
GeForce 6150,329
Quadro NVS 210S / GeForce 6150LE,
Matrox M9120 PCIe x16,
PHDGD Solo 2 x64,
GeForce Go 6150,
QXL KMDOD,
GeForce 7150M / nForce 630M,
GeForce FX Go 5600,
GeForce Go 6100,
Mobile Intel965 Express,
Quadro FX 2000,
RADEON 9600 TX Family,
RADEON XPRESS 200 CROSSFIRE,
S3 Chrome S25 DDR2,
GeForce FX 5600 Ultra,
GeForce FX Go5650,
GRID V100-8Q,
GeForce Go 6200,
NV44,
Intel 82945G Express,
Quadro FX 500/600 PCI,
Radeon HD 2400 PCI,
GeForce 7000M,
GeForce 7000M / nForce 610M,
GeForce FX 5600,
GeForce FX Go5300,
GeForce FX 5200 Ultra,
GeForce FX 5200SE,
FireMV 2400 PCIe,
PHDGD Solo 1.2.0 x86,
RGH Drivers v3,
Familia Intel Q33 Express Chipset,
Master X3100 Driver,
MOBILITY IGP 9000/9100,
ASUS A7000,
GeCube RADEON 7000,
GeForce FX 5600XT,
Matrox Parhelia 256MB,
VIA Chrome9 HD IGP,
ASUS V9520-X V62.11,
GeForce FX 5100,
GeForce FX 5200,129
GeForce FX 5500,153.97
GeForce FX Go 5200,
Intel 82945G Express-Chipsatzfamilie,
Intel Q35 Embedded,
Mobile Intel 965 Express - BR-0907-0461 v1839,
MOBILITY RADEON 9000 IGP,
Quadro FX 500/FX 600,
Quadro NVS 280 PCI,130
Famille de jeu de puces Express Intel 946GZ,
GeForce FX 5200LE,42.99
GeForce4 MX Integrated GPU,
GeForce4 Ti 4400,
GeForce4 Ti 4800 SE,
Intel Media Accelerator 600,
Intel US15 Embedded Media and Controller,
Matrox Millennium P690 Plus LP PCIe x16,
Quadro4 380 XGL,
RADEON 8500 Family,
64MB DDR GeForce3 Ti 200,
ALL-IN-WONDER RADEON 8500DV,
GeForce PCX 5300,
GeForce2 Ultra,
GeForce4 440 Go 64M,
GeForce4 448 Go,
GeForce4 Ti 4200,
GeForce4 Ti 4600,53.99
GeForce4 Ti 4800,
Intel 82915G Express,
Matrox Parhelia APVe,
Mobile Intel 945GM Express,
MOBILITY RADEON 7000 IGP,
MOBILITY RADEON 9000/9100 IGP,
Quadro 280 NVS PCIe,
Quadro NVS 55/280 PCI,
RADEON 9100 Family,
RADEON IGP 350M,
V9560XT V62.11,
VIA/S3G UniChromeII,
ALL-IN-WONDER 9000,
ASUS AGP-V3800PRO v31.40H,
GeForce 256,42.04
GeForce2 MX with DVI-D and TV-out,
GeForce2 Ti,
GeForce3,
GeForce4 420 Go 32M,
GeForce4 440,
GeForce4 MX 4000,
GeForce4 MX 420,
GeForce4 MX 440,
GeForce4 MX 440 with AGP8X,
GeForce4 MX 440SE,
Intel 82865G Controller,
Intel 915G/915GV/910GL Embedded Controller Functio,
Intel 945G Embedded Chipset Function 0,
Intel Q33 Express,
Matrox Millennium P650 PCIe 128,
Mobile Intel 945GM/GU Express,
MOBILITY FIREGL 7800,
Quadro2 MXR/EX,
Quadro4 900 XGL,
Quadro4 980 XGL,341.43
RADEON 7500 Family,
RADEON 9000,
RADEON 9100 IGP,
SAPPHIRE RADEON 9000 ATLANTIS PRO,
VIA/S3G UniChrome Pro IGP,
WinFast A250 LE,
Xabre,
XGI Volari Family v1.13.23.D_V,
ABIT Siluro T400,
Dell 8200,
GeForce 6200A,54.99
GeForce2 Go,
GeForce2 GTS/GeForce2 Pro,
GeForce2 Integrated GPU,
GeForce2 MX/MX 400,
GeForce3 Ti 200,
GeForce4 4200 Go,
GeForce4 440 Go,
GeForce4 MX 460,
Intel 82915G/915GV/910GL,
Intel 865 Embedded Controller,
"Intel 915G,910G Express",
MOBILITY RADEON 7500,
MOBILITY/RADEON 9000,
RADEON 7000 / RADEON VE Family,
RADEON 9000 Family,
RADEON 9200,153.63
RADEON IGP 320,
Radeon IGP 320M,
RIVA TNT2 Model 64/Model 64 Pro,
VIA Chrome9 HC IGP,
VIA Chrome9 HC IGP Family,
VIA Chrome9 HC IGP Family WDDM,
VIA/S3G KM400/KN400,
VIA/S3G UniChrome IGP,
64MB GeForce2 MX with TV Out,
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,
GeForce2 MX,
GeForce2 MX 100/200,
GeForce3 Ti 500,
GeForce4 420 Go,
Intel 82845G/GL Controller,
Intel 82845G/GL/GE/PE/GV Controller,
Intel 82915G/GV/910GL Advanced v3.5,
Intel 82915G/GV/910GL Express,
Intel 946GZ Embedded Chipset Function 0,
Intel 946GZ Express,
Intel GMA 3150 Express,
Intel Media Accelerator 3150,
Intel Media Accelerator 500,
Matrox Parhelia 128MB,393.99
MOBILITY RADEON 9000,
MOBILITY RADEON 9100 IGP,
MOBILITY RADEON 9200,
Radeon 7000 / Radeon VE,
RADEON 7200,599.99
RADEON 7500,177.25
RADEON 9200 LE Family,
RADEON 9200 PRO Family,
RADEON 9200 SE,
RADEON 9250,194
Radeon IGP 340M,
RADEON IGP 345M,
Rage Fury Pro/Xpert 2000 Pro,
RIVA TNT2/TNT2 Pro,
S3 Inc. Savage4,
Vanta/Vanta LT,
VIA Chrome9 HC IGP WDDM,
VIA Chrome9 HC IGP WDDM 1.1,
VIA Chrome9 HC3 IGP,
VIA/S3G DeltaChrome IGP,
Dell 8100,999.11
Intel 82845G Controller,
Intel Extreme Controller,
Mobile Intel 915GM/GMS/910GML Express,
Mobile Intel 945 Express,
Quadro NVS 280 SD,
RADEON IGP 34xM,
Radeon VE,
S3 SuperSavage/IXC 1014,
VIA Chrome9 HC IGP Prerelease WDDM 1.1,
VIA Chrome9 HCM IGP,
VisionTek Radeon 7000,
FireMV 2200 PCI,
IGP 340M,
Intel 82852/82855 GM/GME Controller,
Quadro2 Pro,
Rage 128 Pro,
RAGE 128 PRO AGP 4X TMDS,
S3 ProSavageDDR,
